@relation InstanceResultListener

@attribute Key_Dataset {data_eda}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.SimpleLogistic,weka.classifiers.meta.Bagging,weka.classifiers.meta.Stacking,weka.classifiers.meta.AdaBoostM1}
@attribute Key_Scheme_options {'-I 0 -M 500 -H 50 -W 0.0','-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0','-X 10 -M \"weka.classifiers.functions.SimpleLogistic -I 0 -M 500 -H 50 -W 0.0\" -S 1 -num-slots 1 -B \"weka.classifiers.rules.ZeroR \"','-P 100 -S 1 -I 10 -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0'}
@attribute Key_Scheme_version_ID {7397710626304705059,-115879962237199703,5134738557155845452,-1178107808933117974}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric
@attribute measureOutOfBagError numeric

@data

data_eda,1,1,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,370,42,24,18,0,57.142857,42.857143,0,0.349398,0.283621,0.370033,82.709087,89.305897,74.146529,59.254797,14.891733,1.765394,1.410828,0.354565,19.313771,0.459852,26.048112,0.733333,11,0.111111,3,0.888889,24,0.266667,4,0.785714,0.733333,0.758621,0.632456,0.841975,0.810926,0.571429,0.214484,0.785516,0.428571,0.538549,0.571429,0.527346,0.361932,0.783835,0.663478,0.381963,0.571429,0.148,0,0.125,0,125,0,11300,69616,10248,100,82.142857,?,86.363636,10,?
data_eda,1,2,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,370,42,22,20,0,52.380952,47.619048,0,0.274611,0.30448,0.397785,88.324593,95.437447,76.26614,73.568656,2.697484,1.81586,1.751635,0.064226,12.179875,0.289997,15.970225,0.733333,11,0.259259,7,0.740741,20,0.266667,4,0.611111,0.733333,0.666667,0.45902,0.792593,0.628277,0.52381,0.244348,0.755652,0.47619,?,0.52381,?,?,0.677754,0.487278,?,0.52381,0.061,0,0.046875,0,46.875,0,11300,69616,10248,90.47619,82.142857,?,36.363636,3,?
data_eda,1,3,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,371,41,23,18,0,56.097561,43.902439,0,0.322936,0.277551,0.365468,81.174527,88.492895,71.977118,54.736144,17.240974,1.755539,1.335028,0.420512,19.9308,0.486117,27.690466,0.8,12,0.115385,3,0.884615,23,0.2,3,0.8,0.8,0.8,0.684615,0.923077,0.874344,0.560976,0.231649,0.768351,0.439024,?,0.560976,?,?,0.781309,0.653243,?,0.560976,0.039,0,0.03125,0,31.25,0,11300,69797,10067,100,81.097561,?,95.454545,17,?
data_eda,1,4,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,371,41,20,21,0,48.780488,51.219512,0,0.214416,0.285597,0.378504,83.527649,91.64919,71.977118,61.469674,10.507443,1.755539,1.49926,0.256279,18.593904,0.45351,25.833076,0.666667,10,0.192308,5,0.807692,21,0.333333,5,0.666667,0.666667,0.666667,0.474359,0.812821,0.70943,0.487805,0.259439,0.740561,0.512195,?,0.487805,?,?,0.72602,0.548272,?,0.487805,0.035,0,0.03125,0,31.25,0,11300,69797,10067,97.560976,79.878049,?,90.909091,15,?
data_eda,1,5,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,371,41,18,23,0,43.902439,56.097561,0,0.131676,0.309232,0.403296,90.517834,97.746472,71.869455,71.153939,0.715516,1.752914,1.735462,0.017452,10.457871,0.25507,14.551204,0.571429,8,0.185185,5,0.814815,22,0.428571,6,0.615385,0.571429,0.592593,0.393601,0.759259,0.69416,0.439024,0.30046,0.69954,0.560976,?,0.439024,?,?,0.639212,0.489247,?,0.439024,0.04,0,0.046875,0,46.875,0,11300,69797,10067,97.560976,78.658537,?,81.818182,9,?
data_eda,1,6,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,371,41,16,25,0,39.02439,60.97561,0,0.063071,0.315546,0.414706,92.365798,100.511713,71.869455,73.779922,-1.910467,1.752914,1.79951,-0.046597,7.973557,0.194477,11.094501,0.428571,6,0.148148,4,0.851852,23,0.571429,8,0.6,0.428571,0.5,0.309656,0.740741,0.651473,0.390244,0.329033,0.670967,0.609756,0.389268,0.390244,0.373417,0.069889,0.563651,0.430913,0.27047,0.390244,0.038,0,0.03125,0,31.25,0,11300,69797,10067,95.121951,77.439024,?,95.454545,21,?
data_eda,1,7,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,371,41,21,20,0,51.219512,48.780488,0,0.269813,0.283283,0.383001,82.922087,92.827433,71.869455,60.626185,11.24327,1.752914,1.478687,0.274226,19.418458,0.473621,27.01907,0.857143,12,0.333333,9,0.666667,18,0.142857,2,0.571429,0.857143,0.685714,0.496929,0.801587,0.759985,0.512195,0.241778,0.758222,0.487805,?,0.512195,?,?,0.719262,0.589358,?,0.512195,0.033,0,0.046875,0,46.875,0,11300,69797,10067,100,80.487805,?,68.181818,8,?
data_eda,1,8,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,371,41,24,17,0,58.536585,41.463415,0,0.377679,0.296687,0.385135,86.845578,93.344683,71.869455,64.070731,7.798724,1.752914,1.562701,0.190213,15.513441,0.378377,21.585583,0.714286,10,0.222222,6,0.777778,21,0.285714,4,0.625,0.714286,0.666667,0.47834,0.814815,0.697293,0.585366,0.21012,0.78988,0.414634,0.605827,0.585366,0.582633,0.392558,0.705372,0.598112,0.456583,0.585366,0.037,0,0.03125,0,31.25,0,11300,69797,10067,100,81.707317,?,63.636364,6,?
data_eda,1,9,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,371,41,19,22,0,46.341463,53.658537,0,0.181488,0.28647,0.398661,83.854805,96.622909,71.869455,62.839769,9.029686,1.752914,1.532677,0.220236,17.651115,0.430515,24.559967,0.714286,10,0.407407,11,0.592593,16,0.285714,4,0.47619,0.714286,0.571429,0.29113,0.78836,0.737084,0.463415,0.284572,0.715428,0.536585,?,0.463415,?,?,0.686999,0.536954,?,0.463415,0.046,0,0.046875,0,46.875,0,11300,69797,10067,100,75.609756,?,90.909091,12,?
